package name,reviewer name,review,rating
com.gunshippenguin.openflood,Arian Gh,The best things in life are completely free!,5
com.gunshippenguin.openflood,Kathleen Smith,Cannot replay favorite games. Wont allow paste or clipboard. Please fix,2
com.gunshippenguin.openflood,Joo Dee,"This is a fun game. I like no ads and open source. I have not managed to win it, however.",4
com.gunshippenguin.openflood,Bryan Suandoko,I don't know how. But I'm addicted to this simple game.. 😂,5
com.gunshippenguin.openflood,Fuwazu,"It makes me think, and i failed twice 🤣 exactly what i need, simple, small, entertaining",5
com.gunshippenguin.openflood,George Murga,"Very addictive! Easy to play, hard to solve. I like it. Thank you",5
com.gunshippenguin.openflood,Matt Quinn,Great game,5
com.gunshippenguin.openflood,Nader Taghinia,"Very well written, addictive, smooth and without ads! Great work 👍 I love it!",5
com.gunshippenguin.openflood,dreamy stone,"Great time waster, with zero ads. Definitely recommend.",5
com.gunshippenguin.openflood,A Google user,don't give you a chance to finish getting your color in box one star,1
com.gunshippenguin.openflood,Ian Abbott,"This is a nice little puzzle game which is basically the same as Flood-It! but with no annoying ads. The main thing that's missing is an auto-save and restore feature. Currently, exiting the app quits the puzzle you are working on.  Since the initial squares are filled in at random, I'm not sure what percentage of puzzles are technically solvable in the allotted number of moves even if you play perfectly. Perhaps it's more like solitaire games such as Klondike, where losing a lot of the time is expected. Or maybe I'm just thick.",4
com.gunshippenguin.openflood,Frank Poth,This is a great little puzzle game. Check out my review on PoG Vlog! I recommend it for lovers of the simple puzzle genre. Keep up the good work!,4
com.gunshippenguin.openflood,Mohsin Siraj,Addicted,5
com.gunshippenguin.openflood,Jason Pham,Great game!,5
com.gunshippenguin.openflood,Drew Young,Dev has updated it a bunch and I like it even though it seems to always get the best of me.,5
com.gunshippenguin.openflood,Mhd Wahyu NZ,It's more than a game and it's fun.,5
com.gunshippenguin.openflood,TP S,_,5
com.gunshippenguin.openflood,Ari Blondal,Would rate 5/7 but no 7 star to be out of. So 5/5.,5
com.gunshippenguin.openflood,Andrew M,the best game on the play store.  Please keep up the good work.  I would pay 5-10$ for a game like this!!!!!!  This might go viral.,5
com.gunshippenguin.openflood,Phil’s GF,Diss gud gayme wud r8ate 5/7,5
com.gunshippenguin.openflood,A Google user,This is a well made app - simple and works perfectly. I'm looking forward to high scores and maybe a little how-to-play for first-time users.  Thanks for the game!,5
com.gunshippenguin.openflood,Derek Ip,"Well made, more addicting than heroin",5
com.gunshippenguin.openflood,Christopher Sims,A fun and challenging game.,5
com.gunshippenguin.openflood,Nicholas Horry,I love this game. It has a very simplistic style yet is so difficult once you start doing 4 and 5 colours. One of my favourite games by far. Great Work!!!! Keep it up,5
com.labpixies.flood,Mohd Sabri Abdullah,Excellent,5
com.labpixies.flood,Anil Kumar,Star utshav,1
com.labpixies.flood,Rajesh Yadav,Rajes Rajesh Kumar Yadav .,5
com.labpixies.flood,Muhammad Saleem,Xxx,1
com.labpixies.flood,Paul Makodiembo,So good since it is intresting,2
com.labpixies.flood,Akash Kumar,फ्री डायमंड,5
com.labpixies.flood,Pankaj Sahu,Good,5
com.labpixies.flood,Babu Babu,Labib,5
com.labpixies.flood,WILFRED FLORENDO,𝙤𝙥𝙩𝙞𝙣𝙖𝙡,5
com.labpixies.flood,May Marcelo,Good,5
com.labpixies.flood,Tanjiha jahan Jui,Nice video like,5
com.labpixies.flood,G VEMANNA,G.vemanna,1
com.labpixies.flood,Madan Subhedar,All well keep it up,5
com.labpixies.flood,varghese john,M.O.JOHNKUTTY.M IN THE WORLD,5
com.labpixies.flood,Chintu Kumar Kumar,"Is app se paise bank me kashye tarasfar karein ,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,, 😊😙. ,,,,, ,,,,,hi Hi Hi",1
com.labpixies.flood,A Google user,Very nice. Are all boards beatable?,4
com.labpixies.flood,Abdi Adan,Good,5
com.labpixies.flood,charles peter san jose,I have been playing it for a while now. It's a boring game and I always get ads every time I finish a level. I HATE THIS GAME!!!! I give it a 1 star because of the ad's and boredness. 😡😡😡😡😡,1
com.labpixies.flood,Amarnath Singh,K gb utrauut varanasi,1
com.labpixies.flood,Athuman Mganga,Football live tv,2
com.labpixies.flood,Aristides Batista,Simple and incredible!,5
com.labpixies.flood,Manish yadav,yadavjee,4
com.labpixies.flood,suavs,good,3
com.labpixies.flood,Stanley Munywoki,Very nice game,4
com.labpixies.flood,Santosh Sen,netsurf cammicasotio pvt lt,5
com.labpixies.flood,Andriani Ong,Try It,5
com.labpixies.flood,Sobel Chiutsi,Video,5
com.labpixies.flood,Samantha Moody,LOVE this game!!!,5
com.labpixies.flood,Rosalinda De guzman,Beru intereting and simple easy to use,5
com.labpixies.flood,Hassan Zd,Good strategy,5
com.labpixies.flood,SHIINE QOORYARE,Am checking Wright now it is my first time to use this application,3
com.labpixies.flood,JoshEco4,it's a unique idea but it gets pretty boring quickly,4
com.labpixies.flood,DeZyre_ZA,Very boring game,2
com.labpixies.flood,Roland Buswell,Its good but i wish there was more colors,5
com.labpixies.flood,Rashmi Thapa,i am happy,5
com.labpixies.flood,geeta sharma,very bad game,1
com.labpixies.flood,Unbeatable Ifeanyi,Very nice,5
com.labpixies.flood,Nazmul Hossain,Bite nice,5
com.labpixies.flood,Vanessa Castillo,"I love the concept of the game. I really do, but it keeps just stopping since I downloaded it and I don't know what's going on.",4
com.labpixies.flood,P k y Pky,Pramond,1
com.labpixies.flood,Mehedi Khan,No Be Prequels,5
com.labpixies.flood,vone buckels,Cleared all 30 boards in less than 24 hours.,2
com.labpixies.flood,Ahmad Ali,ବଡ,1
com.labpixies.flood,يارا حلبي,رائع,4
com.labpixies.flood,MD mokbul Mia,Nice,5
com.labpixies.flood,Mohammed Alamudi,احل لعب في حيتي كله,5
com.labpixies.flood,Alok Bose,আমি সাহায্য করতে বলছি,5
com.labpixies.flood,Ismail Khan Iasin,Nice,5
com.labpixies.flood,Lana R. Jaeger,Hello labpixies this isnt your app. its mine. Lana Rose Jaeger and that goes for us all. so there. aka dreamer and i know labpixies isnt associated with android. so check ur email again?,5
com.labpixies.flood,Ramjan mondal,Romjan mondal,5
com.labpixies.flood,Itshad Sahaikh,Osm,5
com.labpixies.flood,Basuki Mangkusudharma,Very good,4
com.labpixies.flood,CASTELO MAGSABAL,Good,5
com.labpixies.flood,Matt Fowler,"This game is about as close to a 2.5 star as you can get. The novelty and the mechanics of it are very fun and enjoyable, but the microtransactions aspect of the game will oftentimes leave you very frustrated. it's clearly obvious that they have baked in the notion that you have to buy extra steps to get to the very late game maps and the extra steps cost anywhere from $1 to $10 and at that point you should just uninstall the game and consider it done.",3
com.labpixies.flood,Mukesh Kalena,Mukeshmalena,5
com.labpixies.flood,Shadow Ghost,Excelent,5
com.labpixies.flood,Deelip dm,"Dellep,dn",1
com.labpixies.flood,Meera Chetri,Shavam,1
com.labpixies.flood,Alli Nongkhlaw,Uu,4
com.labpixies.flood,Heera nag,Heeralal,5
com.labpixies.flood,DEEPAK KUMAR,Deepak bhadouriya,1
com.labpixies.flood,Akshay Lambhade,", .,, o 😉😘🤪😚🚍🚍",2
com.labpixies.flood,timal kumar,fodidj,5
com.labpixies.flood,Darshan Naidu,Super fine aswome best 3 mb game,5
com.labpixies.flood,Lir Soracia,"it's not ideal, but it's pretty damn good. love the statistics options and board sizes. also, not ALL the colour palettes make me want to tear out my hair, but a few new ones with mostly dark or neutral colours would be nice.",4
com.labpixies.flood,Shan Ali,ALIM 110 89P,5
com.labpixies.flood,Kahan Das,Tha Popnks,5
com.labpixies.flood,Vina Younan,Fun,5
com.labpixies.flood,Donutask,I got this from a test ad in my own game. Not amazing but it is ok.,3
