package name,reviewer name,review,rating
net.takoli.regexgen,semicodin no.cache,Pathetic.,1
net.takoli.regexgen,Kees de Koster,"Nice, simple, useful!",5
net.takoli.regexgen,bill gannon,"I was looking for a simple, intuitive regex generator / checker and this app fits the bill perfectly. MUCH easier to simply select the mode (starting, containing, ending) and then bang in the specific values you are hunting for, and voila! Am instant magical regex appears. Genius.",5
net.takoli.regexgen,Kneel B,"Excellent app! Already know regex, but this will help spot any mistakes... Combine this with a sed command generator would save a lot of time...",5
net.takoli.regexgen,George Tzikas,Very basic. Flags don't work. No dark theme.,3
net.takoli.regexgen,Mukesh Singh,"Best app, thanks",5
net.takoli.regexgen,niobe trinity,Refreshing my memory on regex and found this well-designed and easy to use app. Thanks!,5
net.takoli.regexgen,John Kellum,Beautiful.,5
net.takoli.regexgen,androiD Account,Very useful.. thanx...,5
net.takoli.regexgen,Abhishek M,"Thanks, really helpful.",5
net.takoli.regexgen,Shemyaza,Nice for learning.,5
net.takoli.regexgen,Александр Киселев,Useful tool,5
net.takoli.regexgen,Jerry Nwosu,Wow! This is awesome,5
net.takoli.regexgen,Jonas N,five stars if missing funktion flags is implemented. :),4
net.takoli.regexgen,Matt H,"I know regex already but had to give review seeing this because it's a clever, simple way of teaching it. Wish I had a similar tool when I was learning.",5
net.takoli.regexgen,spyman prog,very very good app thx,5
net.takoli.regexgen,Nghia Trinh,good app. thank you!,5
net.takoli.regexgen,JOHN SMITH,I rated it 10 stars! ★★★★★★★★★★,5
net.takoli.regexgen,See Fut,I just thinking about this and u already build it nice job thnks,5
net.takoli.regexgen,zorg zrog,Awesome.,5
net.takoli.regexgen,CoolBox,Simple and clear,5
net.takoli.regexgen,Fernando Amaya,"Phenomenal app!! I spent hours looking for this info online with no avail and here you put it together all in a slick looking, interactive application XD thank you thank you thank you!!",5
net.takoli.regexgen,drizzt,"it was great, awesome. now has new feature / permission for network - which for me drops it by 2 stars.  sorry, but that's my personal feel.  others may not mind it, so would be good to them still. Update: fine now, so updating rating too.",5
net.takoli.regexgen,andrew Martens,Has landscape mode now :),4
net.takoli.regexgen,Sam Arv,App is good but how to generate regex to find an empty lines in text file,4
net.takoli.regexgen,L P,Updated version is very good,4
net.takoli.regexgen,Mf Malone,This App produces “made to order” RegEx search string. It does that pretty well!,4
net.takoli.regexgen,Myron Szymanskyj,"Android 6 allows the app to be moved to the inserted SD card.  Could an app update be released that allows your app to be moved to ""external storage"" as Android 6 describes it?  (Email address on app page is not working.)",4
net.takoli.regexgen,Michael Evans,I think I'll update my rating and give it four stars. The reason why it wouldn't work is because I forgot to escape my slashes. \b = \\b,4
net.takoli.regexgen,No. 6,Here's to having no permissions required!,5
net.takoli.regexgen,Eeli Haapalainen,"I'm a Java developer, I hate regex, but with this I can use regex well. Thanks! Awesome app!",5
net.takoli.regexgen,Ateeq Mujahidy,Really good,5
net.takoli.regexgen,A Google user,Usefull,5
net.takoli.regexgen,Ahmad Ruswandi,Great tool!,5
net.takoli.regexgen,Vinay,No way to test the expression.,2
net.takoli.regexgen,Tolik Varlamov,"I thought it would be a reminder for generating my own regexes, somewhat like a regex dictionary, like my own regex tester. But it does I don't even know what.",2
