package name,reviewer name,review,rating
com.playsmusi.tubi2,Shylaja K,So much adds its not good just better update your playtube,3
com.playsmusi.tubi2,Addai Victoria,I really like this app,5
com.playsmusi.tubi2,firas alsaraheen,A very good alternative for youtube,4
com.playsmusi.tubi2,Ifan Jones,It would be better if you could download the videos,4
com.playsmusi.tubi2,Anwar Hossain,Utube,5
com.playsmusi.tubi2,Tajinder Singh Deol,Greatest App Store,5
com.playsmusi.tubi2,Violet Moreno,Fun,5
com.playsmusi.tubi2,ALKESH_11 pawar,This is very good,5
com.playsmusi.tubi2,Kasan Williams,way better than YouTube YouTube dose not even work right perfect app 5 out of five,5
com.playsmusi.tubi2,Christian caceres,Very good,5
com.playsmusi.tubi2,Suresh Tiwari,Kk,5
com.playsmusi.tubi2,SIMMT Aholelei,Not working,1
com.playsmusi.tubi2,Kuldip Kaur,GOOD,5
com.playsmusi.tubi2,RED FF YT AJIN,Not play stor no doweled,1
com.playsmusi.tubi2,Samaira Mir,Amazing application for watching videos and hd movies 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍.,5
com.playsmusi.tubi2,Amir Azmir,Blh ar,3
com.playsmusi.tubi2,Junnie Hapat,I like this app. But why her no movie of sukrit this is my idol,5
com.playsmusi.tubi2,Jasmine Weekes,I like the fact you can go into different apps with it and still see whats going on.,5
com.playsmusi.tubi2,Mohd Yousif,جيد,5
com.playsmusi.tubi2,Rich Mabry,do??? it!!,5
com.playsmusi.tubi2,gulaine ononda,I really like it because it just I can watch like almost everything like let's say I watch Diana and then boom it comes on it's just I like it,5
com.playsmusi.tubi2,Alexander Harrop,This is the opportunity to listen and watch entire video clips and music 🎵😂,5
com.playsmusi.tubi2,Saroja Suresh,Good day for me and have fun with this app,5
com.playsmusi.tubi2,#s,Finally!!!🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩i lovvvveeeee ittttt,5
com.playsmusi.tubi2,Rianna David,Like YouTube a Stupid App Only Showing Mainstream Entertainment world BS Im Not Interested In Any Propaganda From Any Group,1
com.playsmusi.tubi2,Talley Tim,Good music player,5
com.playsmusi.tubi2,Samina Bashir,Good app,5
com.playsmusi.tubi2,Retaj Elhindi,هذا التطبيق رائع فقط لو يمكن أن يمكن إضافة Like للفيديو لأن أنا بحب أدعم الناس البحبهم و شكرا للصناعها,4
com.playsmusi.tubi2,Somya Chandnani,Good app,5
com.playsmusi.tubi2,Avnish Kumar,Highly amazing,5
com.playsmusi.tubi2,Dagi Man,waw,4
com.playsmusi.tubi2,Usha Kumari,Very good experience,5
com.playsmusi.tubi2,Selim Reza,Love this app😇😇,4
com.playsmusi.tubi2,maria elena talledo,Good job,5
com.playsmusi.tubi2,Troy Nelson,😁😁😁,5
com.playsmusi.tubi2,Ladda Bhogal,Thanks for this app,5
com.playsmusi.tubi2,Arrbi Marid,Very educative and informative,5
com.playsmusi.tubi2,Mingming Meow,Its ok,3
com.playsmusi.tubi2,kavyansh śháŕma,Ggg,1
com.playsmusi.tubi2,Pravin Raj,Nice and super,2
com.playsmusi.tubi2,sudip Barman,Egegc. Dd wcw gwf w. G e gegegf. F ceeg e v egegf. Fef f e f eggd geg eg e gege g ege ge g htbt. G dggheg rrhr h hrrh r rgh rrh ggr. Gg. Hn hcjjxjxvhjdn dbs fjf fjd shjcud fhf dhddhd dhd fgd dh,5
com.playsmusi.tubi2,farhanbhatti Farhanbhatti,Good 🙂😊,5
com.playsmusi.tubi2,Kadeen Brown,Nice app,2
com.playsmusi.tubi2,Ashil p k,It is very good app..,5
com.playsmusi.tubi2,Christopher Taylor,I love music,5
com.playsmusi.tubi2,Uzzal Roy,উজ্জল রয়,1
com.playsmusi.tubi2,Laveena,Yr chutiyon ki tarah add aate rahte hai,1
com.playsmusi.tubi2,Sagar Kumar,App stops anytime and then takes very long time to work again,1
com.playsmusi.tubi2,zulaikha yaakub,2022 February Play Tube (2022-Present),5
com.playsmusi.tubi2,Emmanuel Rotich,Right,5
com.playsmusi.tubi2,Thulasiraman P,Ok,3
com.playsmusi.tubi2,Hasina Shaikh,Nice,5
com.playsmusi.tubi2,Kevin Day,Good app,5
com.playsmusi.tubi2,Ravi Pradhan,Very good response,5
com.playsmusi.tubi2,Jutt bhai Bhai,Vio,5
com.playsmusi.tubi2,Gillani Comp,It's so good Amazing,3
com.playsmusi.tubi2,Bilal Alton,To many ads,1
com.playsmusi.tubi2,Tanushree Gupta,Awesome,5
com.playsmusi.tubi2,Dinesh singh Tomar,This app is very good and everyone who can watch this YouTube can see it on this app.,5
com.playsmusi.tubi2,Upendar Gupta,Car Mein chalega video,5
com.playsmusi.tubi2,Joseph Rose,Good,5
com.playsmusi.tubi2,Tuna acharjee,Very nice,5
com.playsmusi.tubi2,Noah Kadoon,Nice,5
com.playsmusi.tubi2,Mark Van Buuren,Excellent music application 👌😉,5
com.playsmusi.tubi2,A Google user,Hello there was an hour or more about how,5
com.playsmusi.tubi2,ramsuman dubey,goodapp,5
com.playsmusi.tubi2,nadeem manhas,Nice,5
com.playsmusi.tubi2,Md Rone,I'm supptar engir,5
com.playsmusi.tubi2,Refilwe Shogolee,L love rhw app cool one problem doesn't download And toomany ads,4
com.playsmusi.tubi2,Lianawati Rioh,Dangdut nagaswara mp 4,5
com.playsmusi.tubi2,aishu's dairy,Good but i can't download any videos and i can't watch any video that we can only see in youtube but overall its good ☺️,4
com.playsmusi.tubi2,F. Winkelmann,Advertising is very annoying,1
com.playsmusi.tubi2,Hurry Gangea,Manchester and I will be 55 with this as well as the other one is a bit more expensive than I thought it would be for us to get a new car price in Mauritius years of this price for the current market rate of 58263210,1
com.playsmusi.tubi2,Tushar Tripathi,I love this app,5
com.playsmusi.tubi2,Prince Singh Thakur,top,5
com.playsmusi.tubi2,Tanvir Khalid,Good app ....... Thankyou for us.,5
com.playsmusi.tubi2,Pushpa Af,It is very useful app,5
com.playsmusi.tubi2,Jorge Villavicencio,Can't even open the app,1
com.playsmusi.tubi2,Girish Chand,Nice,5
com.playsmusi.tubi2,akram rizvi,Usefull app,1
com.playsmusi.tubi2,RaHuL BoDrA,Very nice,5
com.playsmusi.tubi2,Chaitanya Nitin Bhole,👍👍👍👍👍,5
com.playsmusi.tubi2,Hanumant Lokhande,Nice,5
com.playsmusi.tubi2,Syntia Zook,Perfect nice,5
com.playsmusi.tubi2,Moulasab Dodamani,Rdg,4
com.playsmusi.tubi2,Noah Wright,No i love you,1
com.playsmusi.tubi2,Rahul Rajput,Nice,4
com.playsmusi.tubi2,Dhairya Gupta,Nice 👍,5
com.playsmusi.tubi2,Mohd Esa Bohari,Can't play after finish installing,1
com.playsmusi.tubi2,Monu Kumar,Best,5
com.playsmusi.tubi2,Sujata Mudi,IGOD NICE bhare onderfol,5
com.playsmusi.tubi2,Engineer Cbre,Wonderful,5
com.playsmusi.tubi2,lorna Gantao,Kaylangan ko pong maka youtube,5
com.playsmusi.tubi2,shane springate,rubbish,1
com.playsmusi.tubi2,zmaan khan,good,5
com.playsmusi.tubi2,Raza Bukhari,Ul,4
com.playsmusi.tubi2,seema thakur,Very good,5
com.playsmusi.tubi2,Mark Kiel De Leon,Ok,5
com.playsmusi.tubi2,bhagyasree cc,Very bad,1
com.playsmusi.tubi2,SilenceBreather 246,A mother rip off don't download this app you will waist your time,1
com.playsmusi.tubi2,Paul Ricketts,Horrible,1
com.playsmusi.tubi2,Manjay Kumar Tiwari,Very good,5
com.playsmusi.tubi2,Ambika Gawade,There were many ads which are irritating,1
com.playsmusi.tubi2,Tiny Tones,Good thanks mate,5
com.playsmusi.tubi2,Kenyatta Alexander,Love you 💕 you want to do,5
com.playsmusi.tubi2,Markus Brits,Play Tube Rate this app Markus Brits,5
com.playsmusi.tubi2,Ethan Lalljie,Is 100% work I would recommend you don't lose me 🤩💯,5
com.playsmusi.tubi2,Shambhavi Chaubey,It only shows ad every 5 sec 🙏.It's just not good .I'll suggest you not to download the application.,1
com.playsmusi.tubi2,Jack Jokes,Perfect I'm going to Rick roll my mum,5
com.playsmusi.tubi2,Jelka Vukovic,Unusable,1
com.playsmusi.tubi2,Idowu Toibat,It good it manageable,3
com.playsmusi.tubi2,Jun Branzuela,Great,5
com.playsmusi.tubi2,Adolfo Zarate,EXCELLENT ALTERNATIVE TO U TUBE!,5
com.playsmusi.tubi2,Vel raj,Super app,1
com.playsmusi.tubi2,Ashra Silly,Comedy mariyak,4
com.playsmusi.tubi2,Gabriel Fernandez,It's like a virus on my phone,1
com.playsmusi.tubi2,Newa Winikerei,Great,5
com.playsmusi.tubi2,Nonkululeko Nondumiso,Its gives us the future life abaut what could we lives,5
com.playsmusi.tubi2,Shri Radhe Krishna Krishna,ओपन करते ही विज्ञापनों के भूत प्रकट हो गए कुछ समझने ही नहीं दिया ??? 3 बार try किया और न खुश होना पड़ा !! सॉरी डेवलपर,3
com.playsmusi.tubi2,Raj Pathak,App is very good very loght but there are many ads which are very irritating so please remove ads and add more features like video downloading otherwise it is good app.,2
com.playsmusi.tubi2,Eugene Obi,Satisfactory,5
com.playsmusi.tubi2,Nidhish Sharma,Best,5
com.playsmusi.tubi2,Saro_ Sunny,"4/5 it is basically youtube but better. Although, I use this for other things. It's a really good app just maybe delete the ads",4
com.playsmusi.tubi2,Victor Wafula,Good faster,5
com.playsmusi.tubi2,Constantinos Ioannou,Good app but keeps lagging from time to time,3
com.playsmusi.tubi2,Robin Dufrene,👍,5
com.playsmusi.tubi2,Sandra Rumian,Thank you for making this every time I'm playing a game I can open this app and watch and play at the same thank you 😊😊,5
com.playsmusi.tubi2,Arjun Rupnavar,Good,5
com.playsmusi.tubi2,Bal singh Kunjeda,धेरै राम्रो लाग्यो,5
com.playsmusi.tubi2,Mohamed Sameer,Viree nica,5
com.playsmusi.tubi2,lR Vikramaditya,I hate this app but still giving you 4 cause it is some what like YouTube .,4
com.playsmusi.tubi2,ąřťťįķů,is so god app,5
com.playsmusi.tubi2,Vinay Shukla,vry good,1
com.playsmusi.tubi2,Risda Kapri,Sangat baik,5
com.playsmusi.tubi2,Shomik Kumar,Good app,5
com.playsmusi.tubi2,Hi Ag,ননপঠটট,5
com.playsmusi.tubi2,Xharra Xharra,like this's app,5
com.playsmusi.tubi2,Nita Kadham,Very nice and good app it's okay and when my internet is slow then also the screen is clear .THANK YOU SO MUCH,5
com.playsmusi.tubi2,Serwaa Juliet,Good,5
com.playsmusi.tubi2,rauf khan,This is best app but 1time1000mb finish is all !obile,1
com.playsmusi.tubi2,Christina Comber,I love this app.,5
com.playsmusi.tubi2,N dog13,Literally the only reason why you would use this app is because YouTube has been blocked by your parents or something like that this app is completely overshadowed by YouTube just download YouTube,2
com.playsmusi.tubi2,Rajdangi Dangi,Mast,5
com.playsmusi.tubi2,Sandi Hirani,Can't access YouTube playlist,1
com.playsmusi.tubi2,Hakim Alam,MDHAKiM,5
com.playsmusi.tubi2,Vinit Kumar,Good app,3
com.playsmusi.tubi2,Shubha Shubha,Nice,3
com.playsmusi.tubi2,Amaru Malungani,Wuw,4
com.playsmusi.tubi2,Taruna Chanana,Op app for YouTube,5
com.playsmusi.tubi2,Abdul Rahman,AR Assam sd 100,5
com.playsmusi.tubi2,Amarra Aryan,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😮wow,5
com.playsmusi.tubi2,Veera Malai,Like this,1
com.playsmusi.tubi2,AASTHA ACHAREKAR,Ok ok 👎🤏,4
com.playsmusi.tubi2,Unicorn Green,Its very glitch,1
com.playsmusi.tubi2,Mamady Camara,Classic app.,5
com.playsmusi.tubi2,Ethan Port,Amazing my only problem is I need a option to diwnlaod the videos,5
com.playsmusi.tubi2,Meljen Fundal,good,5
com.playsmusi.tubi2,Dhanraj Katariya,so awesome,5
com.playsmusi.tubi2,Samantha Bugto,Its great,5
com.playsmusi.tubi2,Sean Baker,Shrinking,5
com.playsmusi.tubi2,Bendora Workman,This is the only thing I have to give me joy my gospel songs to start my day with Rance Allen group.,5
com.playsmusi.tubi2,Bontle Lesemola,Amazing,5
com.playsmusi.tubi2,Kabelo Makhalanyane,"I like it but when I downloaded it, it was confusing me . What should I do?",5
com.playsmusi.tubi2,Sumon Sk,Rijumondal,4
com.playsmusi.tubi2,Laura Streelniece,I LOVE IT SO MUCH,5
com.playsmusi.tubi2,T.shanmugam Samuel,Very use full u tube,4
com.playsmusi.tubi2,Josehp Bardinas,Kungwa,5
com.playsmusi.tubi2,Puja Biswas,Nice app,3
com.playsmusi.tubi2,Ian Kerchee,Ilikeit,5
com.playsmusi.tubi2,Asmeet Kaur,This is so good,4
com.playsmusi.tubi2,Ayman Uddin Ahmed,Thanks for this app.I wanted to install youtube but my mobile don't have space so It have only 6mb.so I can install it. Thank you.,5
com.playsmusi.tubi2,Mad I,Used to be better without ads all the time. Disappointed by new update,3
com.playsmusi.tubi2,Subuhani Subuhani,Good,5
com.playsmusi.tubi2,John Wishart,Best app ever I downloaded TV show for my time in hospatel thank you so so much,5
com.playsmusi.tubi2,kimtaeyung bts,Nice app,5
com.playsmusi.tubi2,Jessie Elliott,Its ok but it kicks me out.,4
com.playsmusi.tubi2,Shanice Daniels,Very good APP.,5
com.playsmusi.tubi2,GETO skabe,Ads,1
com.playsmusi.tubi2,AGNEYA U KRISHNA,☺️,1
com.playsmusi.tubi2,Belay Feleke,It is good app to usa,5
com.playsmusi.tubi2,Babita Pandey,Good app thanks,5
com.playsmusi.tubi2,Katleho Nkoana,It's just makes life easier,5
com.playsmusi.tubi2,Sardar Sardar,Jayanth,5
com.playsmusi.tubi2,deputa pre,So aamqzing,5
com.playsmusi.tubi2,Emmad Tayyab,Good,4
com.playsmusi.tubi2,Sanjida Riya,Amazing tube,1
com.playsmusi.tubi2,Priyansh Verma,👎👎👎👎👎👎👎👎👎👎👎👎,1
com.playsmusi.tubi2,HK Mansur,👌👌👌,1
com.playsmusi.tubi2,শ্রী অনিক কুমার,Nice App,5
com.playsmusi.tubi2,Ayan Ali,It is good but it would be better if it's loading time is faster and there should be a home screen with random videos like youtube ok,3
com.playsmusi.tubi2,jelly fruits,This is the worst app i cant even watch videos with out internet.,1
com.playsmusi.tubi2,Imtiaz Baig,This app is☻☻😱best game this app is so nice,5
com.playsmusi.tubi2,Aɴᴋᴜꜱʜ ff.,th,1
com.playsmusi.tubi2,Limon Poultry feed,Good apps,5
com.playsmusi.tubi2,yusuf randera,"ofv, sh CC uu w",5
com.playsmusi.tubi2,Susan Puri,Here,1
com.playsmusi.tubi2,Anju Yadav,I will give 3 stars,3
com.playsmusi.tubi2,Arpit Wagh,Best video app,5
com.playsmusi.tubi2,Hafiza Anoshay,Good,5
