package name,reviewer name,review,rating
it.lucci.cm.greyscaletheme,Long Dinh,Great theme,5
it.lucci.cm.greyscaletheme,Mohamed Shadhaan,Best cm theme so far. Needs an update soon. Some apps got screwed up by Google and don't look right anymore.,4
it.lucci.cm.greyscaletheme,Ryan Stonecipher,This theme tweaks the default appearance of CM13 without going into the silliness of wacky fonts or excessive transparency effects.,5
it.lucci.cm.greyscaletheme,Doc 65,Is it compatible with Android N ?,5
it.lucci.cm.greyscaletheme,areeb1296,Great theme. Just change the notifications and quick settings panel to Android N style (like in themes like Effortless) and it'll be perfect.,4
it.lucci.cm.greyscaletheme,Nitin Sharma,Grey scale icons please,3
it.lucci.cm.greyscaletheme,Faizal Ahmad,its a great theme,5
it.lucci.cm.greyscaletheme,ajitesh rai,"Awesome theme, and very snappy too.",5
it.lucci.cm.greyscaletheme,petri voges,Its almost the best theme in the world.,4
it.lucci.cm.greyscaletheme,Nguyễn Huy Anh,That's I need,5
it.lucci.cm.greyscaletheme,Tanay Singh,can you change the notification tiles(cards) like android n?,5
it.lucci.cm.greyscaletheme,TJ,You can't go wrong with black & white ;),5
it.lucci.cm.greyscaletheme,Erick Gamiz,"Can't see the letters in the settings list screen, the letters are white and the wallpaper too",4
it.lucci.cm.greyscaletheme,Sơn Nguyễn,This is the simplest theme and makes my phone runs faster,5
it.lucci.cm.greyscaletheme,Fran Poje,"This theme is pure perfection. I've been using it for a long time, and will continue to do so. Are you planning on adding theme support for more apps? It would be amazing if you did.",5
it.lucci.cm.greyscaletheme,Ali Gökçe,The only theme that I'm currently using. Only this has the understanding of material design. Theme changes over stock UI are simple but magnificent.,5
it.lucci.cm.greyscaletheme,Rezza Plur,"Fantastic theme,  i love it",5
it.lucci.cm.greyscaletheme,Jan Sullano,Simplicity is beautiful,5
it.lucci.cm.greyscaletheme,A Google user,Everything isn't themed like it's supposed to be. Even after I rebooted. I'm on XOSP ROM with my Nexus 6.,3
it.lucci.cm.greyscaletheme,Philip Nzw,Simply amazing,5
it.lucci.cm.greyscaletheme,Rio Cahyadi,Nice... 👍. Keep up the good work. Edit : Can you please remove the underline below caps lock icon on AOSP keyboard.,5
it.lucci.cm.greyscaletheme,A Google user,"Free and open source stuff always rock, because they are made out of passion.",5
it.lucci.cm.greyscaletheme,Lalitha Balla,Please provide support for beanstalk rom.,5
it.lucci.cm.greyscaletheme,Kundan Singh,5 Stars for open source,5
it.lucci.cm.greyscaletheme,Balla Sudhakar,Very clean and simple theme.,5
it.lucci.cm.greyscaletheme,Shivam Garg,Gr8 theme,5
it.lucci.cm.greyscaletheme,Andrew,Bel tema,5
it.lucci.cm.greyscaletheme,NIETSCHE Crossout,Nice,5
it.lucci.cm.greyscaletheme,Kartik Sharma,One of the best themes out there !,5
it.lucci.cm.greyscaletheme,Eric de Beer,Sublime,5
it.lucci.cm.greyscaletheme,Vignesh,Need black & white icon,5
it.lucci.cm.greyscaletheme,Sarabjit Singh,Nice...,5
it.lucci.cm.greyscaletheme,lostinspace,"I like the style, hopefully more apps are themed, besides that, great job.",4
it.lucci.cm.greyscaletheme,Düdmæng Brossovitch,I love the monochromatic essence of this simple yet complex theme!,5
it.lucci.cm.greyscaletheme,duram dusam,"Great style, however it only themes settings and calculator",3
