package name,reviewer name,review,rating
org.geometerplus.fbreader.plugin.local_opds_scanner,Lester Wilson,It works,4
org.geometerplus.fbreader.plugin.local_opds_scanner,ABJ photography & video,Works great with FBreader premium on my Android 6 tablet. On my Android 10 phone I get a message that it was for an older version of Android. So its time for the developers to make an upgrade 😎😎,4
org.geometerplus.fbreader.plugin.local_opds_scanner,Aastha Rani, ehttyy F tu ko,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Julian Hughes,I just tried it on one device running Android 9 (Pie) and on a device running Android 8 (Oreo). It works fine on both. If you prefer to read on FBReader than this is the ideal way to connect with your Calibre content server.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Joe Bennett,Used to work great until Android 10 now won't connect to Calibre host. UPDATE: Just needed to update the Calibre host firewall settings. Works well again.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,debra ferrell,"When I tried to open it, I got a message that app was for an older version of FBReader, try updating. This is latest version, which was last updated 6/20/15. Uninstalling.",1
org.geometerplus.fbreader.plugin.local_opds_scanner,Hwa Shi-Hsia,"Doesn't work. Error message ""No catalogs found, sorry"". My phone and PC are both connected to the same wifi network.",1
org.geometerplus.fbreader.plugin.local_opds_scanner,Richard Hakes,"I had problems with this and eventually found a simple solution, you need to conect to the wifi of the router your pc is connected to, helps!",5
org.geometerplus.fbreader.plugin.local_opds_scanner,Lelouch Lamperouge,How I am supposed to use this???,1
org.geometerplus.fbreader.plugin.local_opds_scanner,Mohammed Rida Louhibi,"No open button, no icône anywhere !",1
org.geometerplus.fbreader.plugin.local_opds_scanner,John Anderson,"Says it installs, but there is no Open button, and the app is not anywhere on my phone.",1
org.geometerplus.fbreader.plugin.local_opds_scanner,Cris & Meg Dean,It's ok. Useful but...the thumbnails are so small I cannot see them! So far I have been unable to find any settings to change the size.,3
org.geometerplus.fbreader.plugin.local_opds_scanner,Hjrlrr Kindle,love it,4
org.geometerplus.fbreader.plugin.local_opds_scanner,Stephen S,does not work,1
org.geometerplus.fbreader.plugin.local_opds_scanner,A Google user,This plug in works perfectly. It allows me to read any book from my PC's Calibre library on my phone using Fbreader. Metadata and covers are also transfered along with the book. I highly recommend app to anyone who uses Fbreader and Calibre.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,A Google user,خوبه,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Brion Lienhart,"This plugin works great when I'm at home and connected to my LAN. However, books that are downloaded to read away from home are lacking basics such as correct title and author. I can understand not copying the complete set of metadata from Calibre, but this is really lacking.  OK, they seem to have updated either this program or the main program. Now, MOST of my epubs and PDFs are copying over with correct author, title & various other info. There are still some that don't, and anything that I added to my tablet before the change are still lacking.",4
org.geometerplus.fbreader.plugin.local_opds_scanner,Raul Ascencio,Works perfectly.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Tom Barringer,"Basically works well. I have been able to connect to Calibre, scan the library, and download and read books. However, when I download I get no metadata or cover image, and the book title is set to ""Calibre_Library"".",4
org.geometerplus.fbreader.plugin.local_opds_scanner,El Char,This is game changer for me.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Kain Tesla,"After added Calibre server to library, when I visited it, said http/1.1 500 Internal server error. But I test the server on PC, it works fine. Update needed.",5
org.geometerplus.fbreader.plugin.local_opds_scanner,Elliot Jenner,"Does not work. Nothing I did would make my tablet and Calibre talk to each other or acknowledge each others' existence. Not even any incompatibility messages, just a continued instance that there is no catalog to connect to.",1
org.geometerplus.fbreader.plugin.local_opds_scanner,Anne Kaelber,Highly configurable. My only complaint is navigating my library - tedious. I prefer to connect to my PC and transfer from Calibre.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Marc Gottlieb,Awesome combination,5
org.geometerplus.fbreader.plugin.local_opds_scanner,Ronald Harvey,...search does not work well. I type in some words of a title and it does not find the books. Why?,3
org.geometerplus.fbreader.plugin.local_opds_scanner,clazh h,Helpful with calibre,4
org.geometerplus.fbreader.plugin.local_opds_scanner,Erin McCarthy,I can't find my app to download more books. The store says it is already installed but is no longer on my phone. I uninstalled and then reinstalled; still not coming up my please fix this,3
org.geometerplus.fbreader.plugin.local_opds_scanner,A Google user,It works as expected.,5
org.geometerplus.fbreader.plugin.local_opds_scanner,A. Arubeeka,It keeps asking for pluggings for everything...,1
org.geometerplus.fbreader.plugin.local_opds_scanner,Ash Hughes,"Connects to Calibre and copies books across fine. However, metadata seems to be lost - author, title etc are all gone. Is this a bug or some extra setup step I need to do which could be made clearer?",3
